lineID,Experiment,comparisonType,Familiarity,NAME,Image1,Image2,comparisonImageNumber,Similarity,SimilarityAsymmetry,RawSimilarity_Proto/Ave First,RawSimilarity_ID First,Typicality,Exp3_Similarity,Exp3_SimilarityAsymmetry,Exp3_Similarity_Prototype First,Exp3_Similarity_Exemplar First,"avgSimilarity(Exp1,2,3)",VGG16_Img,VGG16_Conv1,VGG16_Conv2,VGG16_Conv3,VGG16_Conv4,VGG16_Conv5,VGG16_fc6,VGG16_fc7,VGG16_fc8,GIST
18,1,betweenVar,Unfamiliar,Patty Brard,female_average.jpg,NL_pattybrard_average.jpg,average,4.410958904,0.410958904,4.205479452,4.616438356,*,4.629151292,1.051660517,4.103321033,5.15498155,4.520055098,0.857413736,0.862859209,0.810869284,0.742342661,0.827957699,0.834941015,0.549564329,0.467408721,0.039213042,0.977313365
19,1,betweenVar,Unfamiliar,Tatjana Simic,female_average.jpg,NL_tatjanasimic_average.jpg,average,4.602739726,0.191780822,4.506849315,4.698630137,*,3.536900369,1.228782288,2.922509225,4.151291513,4.069820048,0.915929421,0.909176075,0.898617213,0.882179533,0.933457955,0.722755295,0.396297008,0.30071981,0.001922139,0.954852868
20,1,betweenVar,Unfamiliar,Wendy van Dijk,female_average.jpg,NL_wendyvandijk_average.jpg,average,4.493150685,0.04109589,4.47260274,4.51369863,*,5.068265683,-0.660516605,5.398523985,4.73800738,4.780708184,0.803315081,0.808963491,0.722765429,0.562535385,0.686223806,0.78618649,0.666916928,0.613797037,0.276917241,0.958408217
21,1,betweenVar,Familiar,Al Pacino,male_average.jpg,US_al_pacino_average.jpg,average,3.071917808,0.198630137,2.97260274,3.171232877,*,2.721402214,0.955719557,2.243542435,3.199261993,2.896660011,0.874659052,0.874492331,0.807917344,0.73984103,0.800743935,0.782695119,0.474966602,0.361075906,0.13403421,0.920976497
22,1,betweenVar,Familiar,Bill Clinton,male_average.jpg,US_bill_clinton_average.jpg,average,2.523972603,0.267123288,2.390410959,2.657534247,*,2.007380074,0.36900369,1.822878229,2.191881919,2.265676338,0.735699285,0.737734028,0.711168877,0.665727309,0.702448706,0.449954162,0.081292883,0.058781586,0.047263258,0.834964538
23,1,betweenVar,Familiar,Brad Pitt,male_average.jpg,US_brad_pitt_average.jpg,average,4.113013699,0.075342466,4.075342466,4.150684932,*,4.180811808,0.863468635,3.749077491,4.612546125,4.146912753,0.79436745,0.788263508,0.739836995,0.64174694,0.710911468,0.604681232,0.447462714,0.424802053,0.026368514,0.650949501
24,1,betweenVar,Familiar,Cameron Diaz,female_average.jpg,US_cameron_diaz_average.jpg,average,5.140410959,0.335616438,4.97260274,5.308219178,*,4.97601476,1.103321033,4.424354244,5.527675277,5.05821286,1,1,1,1,0.966816681,0.821111649,0.530049235,0.432906622,0.895475133,0.92901139
25,1,betweenVar,Familiar,Gwyneth Paltrow,female_average.jpg,US_gwyneth_paltrow_average.jpg,average,4.198630137,0.506849315,3.945205479,4.452054795,*,4.745387454,1.357933579,4.066420664,5.424354244,4.472008795,0.74788567,0.750214183,0.65787287,0.513337754,0.668547612,0.76713902,0.640425605,0.556764425,0.186879853,0.899484203
26,1,betweenVar,Familiar,Harrison Ford,male_average.jpg,US_harrison_ford_average.jpg,average,2.97260274,0.575342466,2.684931507,3.260273973,*,2.562730627,0.741697417,2.191881919,2.933579336,2.767666684,0.878829551,0.86209882,0.844386072,0.787504703,0.799447588,0.635425016,0.342285676,0.293141687,0.033759974,0.887112665
27,1,betweenVar,Familiar,Jack Nicholson,male_average.jpg,US_jack_nicholson_average.jpg,average,2.688356164,0.335616438,2.520547945,2.856164384,*,2.197416974,0.726937269,1.833948339,2.560885609,2.442886569,0.777751019,0.779915486,0.765367436,0.694180202,0.740364103,0.654396574,0.395078826,0.284521723,0.072701537,0.924735161
28,1,betweenVar,Familiar,Jennifer Aniston,female_average.jpg,US_jennifer_aniston_average.jpg,average,3.931506849,0.452054795,3.705479452,4.157534247,*,4.341328413,0.94095941,3.870848708,4.811808118,4.136417631,0.932207651,0.928879726,0.911459176,0.847985401,0.856747017,0.675485981,0.345219619,0.28763962,0.954782929,0.884900182
29,1,betweenVar,Familiar,Jennifer Lopez,female_average.jpg,US_jennifer_lopez_average.jpg,average,3.962328767,0.678082192,3.623287671,4.301369863,*,4.950184502,0.815498155,4.542435424,5.357933579,4.456256634,0.911275239,0.901330084,0.874816951,0.852753963,0.878578422,0.742576891,0.474629281,0.411021288,0.071405195,0.956679514
30,1,betweenVar,Familiar,John Travolta,male_average.jpg,US_john_travolta_average.jpg,average,2.938356164,0.534246575,2.671232877,3.205479452,*,2.806273063,1.073800738,2.269372694,3.343173432,2.872314614,0.925269764,0.916904225,0.917883052,0.890395713,0.882196681,0.653626907,0.236690115,0.177987399,0.042213713,0.952955376
31,1,betweenVar,Familiar,Julia Roberts,female_average.jpg,US_julia_roberts_average.jpg,average,5.003424658,0.404109589,4.801369863,5.205479452,*,5.837638376,0.472324723,5.601476015,6.073800738,5.420531517,0.924684685,0.914247256,0.891310137,0.854052963,0.876774708,0.809940337,0.465574673,0.403041807,0.945804583,0.952164983
32,1,betweenVar,Familiar,Leonardo diCaprio,male_average.jpg,US_leo_di_caprio_average.jpg,average,4.085616438,0.020547945,4.075342466,4.095890411,*,4.191881919,0.745387454,3.819188192,4.564575646,4.138749179,0.869724051,0.845666112,0.90581546,0.916603746,0.927809027,0.730543987,0.348125953,0.234261059,0.068263635,0.967572667
33,1,betweenVar,Familiar,Madonna,female_average.jpg,US_madonna_average.jpg,average,5.160958904,0.691780822,4.815068493,5.506849315,*,5.826568266,0.516605166,5.568265683,6.084870849,5.493763585,0.972703023,0.966575008,0.945443034,0.908269125,0.924325959,0.781882682,0.510677421,0.407072255,0.089916356,0.952663806
34,1,betweenVar,Familiar,Marilyn Monroe,female_average.jpg,US_marilyn_monroe_average.jpg,average,3.428082192,0.773972603,3.04109589,3.815068493,*,3.422509225,1.140221402,2.852398524,3.992619926,3.425295708,0.707084708,0.715122915,0.654717827,0.55428058,0.642633706,0.656202969,0.401983115,0.290840379,0.012772569,0.90276164
