Unfamiliar_Similarity,Familiar_Similarity,Unfamiliar_Similarity_Exemplar First,Unfamiliar_Similarity_Prototype First,Familiar_Similarity_Exemplar First,Familiar_Similarity_Prototype First,Unfamiliar_symmetry,Familiar_asymmetry
4,3.925,3.9,4.1,3.55,4.3,-0.2,-0.75
6.9,6.725,6.8,7,6.85,6.6,-0.2,0.25
3.675,3.05,3.45,3.9,3.55,2.55,-0.45,1
4.55,2.5,4.45,4.65,2.3,2.7,-0.2,-0.4
3.35,2.275,3.05,3.65,2.25,2.3,-0.6,-0.05
3.9,4.125,4.1,3.7,3.95,4.3,0.4,-0.35
3.025,1.325,3.25,2.8,1.45,1.2,0.45,0.25
6.95,7.1,6.9,7,7.25,6.95,-0.1,0.3
4.55,3.15,4.5,4.6,3.05,3.25,-0.1,-0.2
7.075,5.35,7.4,6.75,5.3,5.4,0.65,-0.1
3.1,1.8,4,2.2,2.15,1.45,1.8,0.7
4.675,3.95,5.1,4.25,4.35,3.55,0.85,0.8
4.375,3.6,4.35,4.4,3.5,3.7,-0.05,-0.2
4.725,4.325,4.85,4.6,4.45,4.2,0.25,0.25
6.9,6.925,6.65,7.15,6.85,7,-0.5,-0.15
3.6,2.275,3.85,3.35,2.55,2,0.5,0.55
2.85,1.3,3.6,2.1,1.55,1.05,1.5,0.5
3.25,2.025,3.7,2.8,2.55,1.5,0.9,1.05
1.85,1.475,1.9,1.8,1.5,1.45,0.1,0.05
3.9,3.75,5.05,2.75,4.05,3.45,2.3,0.6
4.75,4.95,5.4,4.1,5.1,4.8,1.3,0.3
3.225,1.45,3.9,2.55,1.5,1.4,1.35,0.1
5.25,5.225,5.5,5,5.8,4.65,0.5,1.15
2.7,3.45,2.75,2.65,3.45,3.45,0.1,0
4.125,2.15,5.1,3.15,2.55,1.75,1.95,0.8
6.675,2.425,6.8,6.55,2.45,2.4,0.25,0.05
1.025,1,1,1.05,1,1,-0.05,0
2.6,2.075,3,2.2,2.5,1.65,0.8,0.85
2.15,1,2.2,2.1,1,1,0.1,0
1.95,2.025,2.25,1.65,2.3,1.75,0.6,0.55
1.9,2.575,2.05,1.75,3,2.15,0.3,0.85
4.175,4.975,4.7,3.65,5.2,4.75,1.05,0.45
2.625,1.8,3.2,2.05,1.75,1.85,1.15,-0.1
4.8,3.575,5.5,4.1,3.6,3.55,1.4,0.05
5.225,4.8,5.4,5.05,4.75,4.85,0.35,-0.1
